Batch,AddTime(ns),PollTime(ns)
0,329417,165208
1,65792,36917
2,65333,34041
3,58959,34542
4,57500,34750
5,67125,36083
6,61250,34542
7,59959,35375
8,59167,34292
9,59375,34708
10,58958,34125
11,56875,34166
12,59083,34083
13,59500,33583
14,55833,33625
15,55083,34333
16,55333,34166
17,55042,34292
18,54250,34417
19,55292,34500
20,57083,33917
21,55750,34084
22,55458,34083
23,55625,34167
24,54667,33959
25,58417,34209
26,49750,34083
27,66500,60542
28,62791,156666
29,52042,42417
30,72416,34250
31,50459,34208
32,47416,34458
33,50875,33792
34,50875,33792
35,50416,33625
36,49750,33750
37,52125,33833
38,50375,33833
39,48209,34042
40,51666,33959
41,50584,33958
42,50834,33709
43,50792,34167
44,49500,34042
45,49917,34125
46,47041,34042
47,51292,33834
48,50250,34000
49,56208,17250
50,17208,13708
51,16917,12916
52,16500,13083
53,14875,12834
54,18542,12833
55,17292,12916
56,16625,12834
57,16666,12917
58,16542,12834
59,17042,12792
60,14916,12875
61,16667,13000
62,16583,12791
63,19208,12917
64,16542,13042
65,16375,12875
66,16792,12584
67,15333,12917
68,16458,12792
69,24375,14125
70,18417,13041
71,19416,12916
72,16584,12875
73,16458,20500
74,14833,7458
75,16583,8167
76,16542,7375
77,19292,7459
78,16541,7416
79,16375,7875
80,16417,7416
81,14875,7417
82,16250,7416
83,16208,7792
84,16500,7417
85,16375,7458
86,16333,7417
87,16417,7792
88,15000,7417
89,16917,7417
90,16500,7458
91,16541,7792
92,16458,7458
93,20542,7459
94,16333,7416
95,15042,7417
96,42167,7583
97,18125,7458
98,16417,7500
99,16708,7375
100,16791,7417
101,16417,7416
102,14917,7375
103,16417,7417
104,16708,7459
105,16292,7375
106,16500,7459
107,16459,7458
108,16792,7500
109,14959,7417
110,16667,7375
111,17792,7416
112,17084,7458
113,16792,7375
114,16791,7459
115,16500,7417
116,39792,7458
117,16584,7375
118,16375,7417
119,16458,7417
120,16542,7916
121,16917,7375
122,16250,7375
123,14875,7375
124,18000,7833
125,16584,7458
126,16292,7416
127,16292,7417
128,16917,7958
129,16250,7500
130,14833,7375
131,16417,7458
132,16208,7750
133,16250,7458
134,16583,7417
135,16166,7375
136,16625,7792
137,14833,7458
138,16500,7416
139,16333,7417
140,16292,7375
141,17125,7375
142,16417,7375
143,16417,7459
144,14875,7458
145,15209,7458
146,18458,7375
147,16291,7375
148,16292,7417
149,16875,7542
150,16625,7459
151,16375,7500
152,15084,7375
153,16750,7417
154,16416,7459
155,16500,7375
156,16417,7458
157,16792,7458
158,16583,7375
159,14875,7458
160,16417,7375
161,16334,7833
162,16292,7417
163,16375,7334
164,16334,7417
165,16291,7833
166,15083,7375
167,16750,7458
168,16250,7458
169,16166,7750
170,16208,7375
171,16208,7375
172,16292,7458
173,37833,8000
174,16458,7417
175,16167,7500
176,16250,7375
177,16250,7750
178,16542,7417
179,16375,7458
180,15500,7375
181,16250,7709
182,16583,7459
183,16375,7375
184,16667,7375
185,16375,27333
186,19000,7625
187,15000,7458
188,16750,7459
189,16250,7459
190,16750,7375
191,18333,7417
192,16416,7417
193,16333,7500
194,15333,7458
195,16459,7541
196,16375,7333
197,16333,7416
198,16625,7375
199,16292,7417
200,16167,7375
201,14916,7417
202,16625,7375
203,16333,7458
204,16375,7375
205,16416,7375
206,16292,7833
207,16292,7458
208,14834,7417
209,16333,7417
210,16333,7833
211,16292,7416
212,16542,7458
213,16292,7375
214,17667,7791
215,14875,7417
216,16167,7375
217,16250,7458
218,16208,7750
219,16458,7375
220,18708,7458
221,16291,7417
222,14916,7792
223,16209,7417
224,16208,7458
225,16334,7417
226,16167,7375
227,16583,7375
228,16291,7375
229,14792,7375
230,16292,7458
231,16834,7375
232,16417,7458
233,16250,7459
234,16292,7458
235,16666,7416
236,14833,7417
237,16084,7417
238,16208,7417
239,16500,7459
240,16291,7458
241,16250,7458
242,16166,7333
243,15208,7417
244,16375,7333
245,16167,7375
246,16167,7458
247,16459,7375
248,16209,7458
249,16167,7417
250,14875,7375
251,16125,7750
252,16083,7375
253,16208,7459
254,16167,7375
255,17167,7750
256,16292,7375
257,14834,7417
258,16416,7500
259,16334,7792
260,16583,7542
261,16459,7458
262,16250,7416
263,16125,7792
264,14875,7375
265,16250,7458
266,17917,7416
267,16083,7708
268,16250,7417
269,16375,7375
270,16167,7458
271,14917,7375
272,16583,7458
273,16167,7375
274,16167,7417
275,16250,7458
276,16500,7334
277,16500,7417
278,14875,7416
279,16250,7416
280,16875,7416
281,16208,7459
282,16167,7417
283,16500,7417
284,16708,7375
285,14958,7500
286,16167,7375
287,16167,7375
288,16583,7375
289,16708,7375
290,16500,7375
291,16333,7375
292,14958,7708
293,16333,7417
294,16375,7458
295,18458,7458
296,16625,7792
297,17041,7459
298,16583,7375
299,14875,7458
300,16541,7792
301,16625,7375
302,16541,7416
303,16375,7375
304,16250,7791
305,16292,7458
306,14917,7333
307,16208,7459
308,16459,7750
309,16042,7459
310,16542,7417
311,16291,7458
312,16333,7833
313,14959,7416
314,16541,7417
315,16208,7375
316,16417,7417
317,16792,7333
318,16292,7459
319,16375,7417
320,14792,7416
321,16666,7459
322,16250,7458
323,16334,7500
324,16375,7500
325,16625,7375
326,16125,7584
327,14875,7375
328,16209,7375
329,17042,7458
330,16292,7459
331,16583,7375
332,16250,7500
333,16584,7458
334,14875,7417
335,16250,7458
336,16208,7417
337,16125,7792
338,16083,7417
339,16291,7417
340,17916,7417
341,14875,7792
342,16250,7459
343,16125,7458
344,16209,7500
345,16333,7833
346,16208,7458
347,16042,7458
348,14875,7417
349,16167,7792
350,16166,7459
351,57125,7417
352,16292,7458
353,16334,7834
354,16334,7500
355,14917,7542
356,16125,7416
357,16292,7416
358,16458,7417
359,16125,7375
360,16209,7458
361,16250,7375
362,15166,7459
363,16250,7417
364,16625,7458
365,16083,7458
366,16625,7375
367,16083,7417
368,16500,7416
369,17542,7458
370,15250,7500
371,16208,7417
