Batch,AddTime(ns),PollTime(ns)
0,261583,187875
1,84917,151917
2,75834,50375
3,77834,50375
4,74375,50167
5,74250,50041
6,91083,50458
7,74333,54417
8,74666,55000
9,66084,37584
10,60584,36750
11,60833,36791
12,62875,36708
13,60542,36625
14,63041,36458
15,63708,35916
16,119416,52833
17,64042,36125
18,63417,35959
19,62208,36458
20,62250,36083
21,65458,35375
22,62166,36250
23,61500,36166
24,101708,36542
25,61875,36375
26,61542,36333
27,64750,36292
28,62416,36334
29,62000,36625
30,63416,36292
31,62209,35792
32,61083,35875
33,63042,36125
34,61959,36167
35,62541,36250
36,62416,36208
37,63167,36250
38,62500,36250
39,63833,36250
40,61916,36166
41,62500,36292
42,65375,36167
43,62417,35833
44,62417,36375
45,62500,36250
46,62958,36125
47,62875,36250
48,62125,36250
49,65791,36292
50,61500,36208
51,62833,36625
52,69417,53375
53,63167,44000
54,64000,42709
55,64875,42583
56,62791,36208
57,62292,36459
58,64167,36375
59,63084,36250
60,63292,36208
61,64208,36125
62,63500,36125
63,62459,36167
64,64417,35709
65,62125,36333
66,62292,36208
67,65791,36292
68,62041,36292
69,64792,36291
70,58375,36167
71,55250,36125
72,55833,36208
73,56125,36125
74,55667,36084
75,54667,36208
76,58583,36375
77,55000,36208
78,55417,36291
79,56500,36500
80,55625,36042
81,54958,36333
82,57167,36417
83,55042,36083
84,56000,36167
85,56834,36250
86,55167,36209
87,55416,35917
88,56000,36250
89,56209,36084
90,55250,36292
91,55875,36167
92,56625,36292
93,56041,36167
94,55542,38875
95,56416,36292
96,55125,36166
97,57833,36125
98,55666,36083
99,55542,36209
100,55084,36125
101,56625,36250
102,55333,36167
103,56416,36208
104,58166,36125
105,55250,36083
106,55625,35750
107,57708,36166
108,55791,35667
109,56500,36208
110,56334,35875
111,55166,36375
112,55833,36333
113,56708,36167
114,55291,36250
115,54875,36250
116,57041,36375
117,55542,36166
118,55250,36167
119,56584,36250
120,55125,36417
121,55083,36167
122,56959,36584
123,55042,36166
124,55000,36083
125,56625,36166
126,55000,36250
127,56291,36208
128,57041,36167
129,55959,36209
130,55625,35791
131,58834,36250
132,83667,36417
133,55500,36209
134,58000,36250
135,55208,36208
136,56166,36208
137,58500,36375
138,54958,40333
139,59125,36167
140,56875,35958
141,55583,35750
142,54458,35875
143,54542,35708
144,56625,35875
145,55125,35833
146,55959,35667
147,55500,36000
148,55667,36125
149,55125,35750
150,56125,36250
151,54833,36333
152,55375,36125
153,56792,36166
154,54958,36458
155,54250,36375
156,56708,36167
157,59417,36375
158,55792,36250
159,58375,36250
160,56041,36208
161,55292,36166
162,58042,36250
163,55208,36166
164,57167,36334
165,56667,36250
166,55333,36167
167,55584,36292
168,57041,36167
169,55166,36375
170,56125,36334
171,61417,36333
172,56500,35916
173,55667,36333
174,58042,36333
175,55500,36167
176,55959,36083
177,61625,36292
178,55167,37041
179,1225875,37125
180,51834,36208
181,51750,36000
182,51417,36209
183,51625,36291
184,51292,36250
185,51917,36167
186,51625,36125
187,52709,36209
188,53166,36083
189,55583,35833
190,51708,35916
191,55959,36125
192,59083,35833
193,81167,36958
194,55583,36333
195,57916,36375
196,55667,36416
197,56000,36208
198,59167,36417
199,56042,36709
200,56750,36542
201,60250,37000
202,56000,36166
203,56333,36250
204,57000,36208
205,55833,36250
206,56167,36250
207,56375,36292
208,56667,36208
209,55500,36459
210,55958,36375
211,57333,36291
212,56833,36458
213,56167,36208
214,56834,36250
215,56458,36208
216,55917,36167
217,59375,35792
218,55792,36209
219,56292,36250
220,57042,36334
221,56208,36250
222,55042,36167
223,57041,36292
224,55625,36209
225,55875,36208
226,78750,36333
227,54542,36250
228,59083,36250
229,58208,56458
230,73167,37375
231,58375,36583
232,57291,35833
233,56042,35792
234,63042,35750
235,56458,36083
236,55708,36000
237,56875,36334
238,53917,36209
239,54292,35791
240,54875,36333
241,56625,36291
242,54875,36209
243,57167,36459
244,55208,35916
245,55250,35875
246,55333,36208
247,53833,36250
248,55000,36208
249,54541,36208
250,56541,36084
251,55416,36125
252,55042,36084
253,54667,36042
254,54084,36209
255,55000,36291
256,55000,36167
257,54375,36250
258,56041,36083
259,55917,36208
260,54959,36167
261,56500,36208
262,55166,36375
263,57000,36125
264,55583,36208
265,55708,36125
266,58625,36209
267,60459,36333
268,59458,37125
269,60750,36167
270,59083,36209
271,62917,36208
272,62916,36167
273,59833,36083
274,62250,35958
275,60459,36417
276,62416,36417
277,62916,36334
278,63958,36708
279,58541,36625
280,60625,36583
281,59875,36250
282,57375,36250
283,58750,36166
284,59750,38792
285,58792,36291
286,59084,36167
287,60750,36417
288,58375,36292
289,59333,36625
290,60500,36167
291,58417,36291
292,57708,36125
293,60125,36291
294,59084,35959
295,59167,36208
296,60708,36208
297,58333,36208
298,58250,36167
299,57083,36125
300,55041,36166
301,56208,36208
302,54833,36083
303,56041,36167
304,57209,35916
305,53375,36125
306,57250,36208
307,79708,36125
308,56625,36459
309,89250,36000
310,56666,36208
311,57125,36209
312,54125,36167
313,56500,36208
314,55667,36417
315,56583,35833
316,55000,35875
317,57250,36291
318,56333,36292
319,56250,36167
320,57042,35708
321,57208,36250
322,56792,36375
323,56458,36125
324,56375,36166
325,55208,36208
326,59000,35375
327,60334,35917
328,62375,36291
329,56375,36208
330,60209,36125
331,58875,36167
332,59417,36166
333,54292,36292
334,56041,36250
335,55666,36333
336,56459,36375
337,55542,39208
338,57500,36167
339,57333,35958
340,54458,36083
341,55625,35959
342,55375,36208
343,55500,36167
344,56625,36250
345,57625,36166
346,58125,36000
347,54583,36208
348,56708,35708
349,60166,36208
350,54458,36125
351,54375,36291
352,54083,36250
353,56084,36375
354,55833,36209
355,56750,36000
356,56041,36250
357,55750,35917
358,55917,36041
359,54917,35916
360,55209,36167
361,54750,36000
362,56542,35833
363,53625,35875
364,55792,35959
365,56000,36208
366,56958,36083
367,57375,36417
368,56709,36209
369,57167,35875
370,56709,35959
371,57250,35958
372,55625,35917
373,55125,36209
374,68292,36458
375,56625,49250
376,65375,41792
377,63167,41833
378,62875,41959
379,61791,41917
380,62834,41750
