Batch,AddTime(ns),PollTime(ns)
0,464333,1001166
1,110250,325583
2,95541,325958
3,94375,330834
4,94916,326208
5,85667,325500
6,85917,327083
7,85834,325334
8,84000,324875
9,92333,325542
10,89750,329625
11,85708,325500
12,85375,325625
13,85583,328625
14,85458,325625
15,83834,324875
16,85250,326208
17,85834,325167
18,85625,325333
19,85292,325416
20,85291,324667
21,83541,324292
22,85625,325041
23,107708,352417
24,87167,328625
25,87291,326417
26,86000,328458
27,85500,325959
28,85416,325542
29,84083,329041
30,86750,326667
31,85708,327875
32,115458,470166
33,92042,398542
34,87958,343375
35,86708,327208
36,84791,324917
37,86041,325958
38,86084,326292
39,86208,325291
40,86041,324583
41,86041,324667
42,85833,324000
43,84167,324209
44,85583,325375
45,85875,325083
46,86417,327958
47,86292,325000
48,86208,325208
49,84292,324792
50,83959,324667
51,89125,324958
52,85666,324167
53,86042,324167
54,86208,323958
55,86334,325292
56,84500,355417
57,89291,324625
58,89375,324833
59,90084,325000
60,86042,324791
61,85708,324416
62,85875,325583
63,85875,325541
64,84000,324542
65,85792,325833
66,86000,324250
67,86000,325083
68,92417,333166
69,87208,333958
70,86833,338542
71,85416,332417
72,87125,332542
73,88083,332958
74,87542,332750
75,87125,353375
76,87375,336541
77,86959,333417
78,88916,333125
79,87208,334417
80,86833,331958
81,87167,335792
82,87500,334125
83,87709,335292
84,87542,333041
85,85333,332667
86,87375,332709
87,87042,332209
88,87542,332667
89,87667,333125
90,88250,333667
91,87042,406125
92,85708,362417
93,95250,335292
94,90542,334125
95,86875,333709
96,87000,333167
97,86917,333709
98,86875,332542
99,85625,333000
100,89708,333042
101,87042,332750
102,87000,333542
103,87041,332792
104,86916,336750
105,87000,333292
106,84833,332875
107,87375,332958
108,87209,332042
109,87500,332958
110,89083,332875
111,86917,333125
112,87000,333292
113,85417,332416
114,86667,338417
115,87250,332875
116,86750,332584
117,87417,332375
118,86875,332750
119,86833,332916
120,85208,332833
121,86833,333000
122,87167,332666
123,87167,332458
124,86959,332417
125,86917,335666
126,86750,333000
127,85209,332000
128,86917,332334
129,86917,333167
130,86750,367583
131,92542,333583
132,86916,332458
133,87291,332417
134,85250,333209
135,90334,333875
136,87208,333292
137,87708,333875
138,87416,332292
139,87292,336250
140,87166,353125
141,85375,692958
142,90292,333250
143,92834,337000
144,88417,333709
145,87209,335625
146,87000,333208
147,88791,365875
148,102417,377541
149,89167,333500
150,87209,353167
151,87333,333875
152,87042,332583
153,87125,337042
154,87375,333292
155,84875,332792
156,87292,333333
157,94000,336459
158,87458,332792
159,87250,333375
160,86833,333000
161,86959,333042
162,85334,332625
163,87208,333500
164,87542,332416
165,91000,332667
166,87000,335375
167,86834,333875
168,87041,362917
169,92625,332958
170,88333,339166
171,87458,334792
172,88959,343208
173,87291,333042
174,88583,332916
175,86875,333292
176,85334,334542
177,87208,332500
178,87041,332959
179,87125,332625
180,87000,332458
181,87375,333000
182,86667,333209
183,85333,332083
184,90292,237542
185,90125,132250
186,86709,130625
187,86667,122625
188,86458,120125
189,86667,118709
190,85042,117667
191,86916,117208
192,86541,116583
193,88041,117333
194,86625,116958
195,86125,116875
196,85750,116750
197,84792,116792
198,86542,116375
199,86125,116416
200,86542,118417
201,87459,116709
202,107667,116334
203,86792,116375
204,85083,116125
205,86667,130542
206,87875,116000
207,86542,116125
208,86583,116083
209,86375,115958
210,86541,116083
211,84958,115833
212,86625,115875
213,86625,115625
214,86791,115875
215,86500,115667
216,86291,116083
217,89208,115125
218,85083,115667
219,86792,115791
220,95250,116084
221,87041,116125
222,87209,116125
223,86334,115625
224,86958,115583
225,93417,115875
226,86500,115458
227,86459,115583
228,89375,115625
229,86458,115583
230,86792,115417
231,86459,115459
232,85209,115292
233,90333,115375
234,86458,115167
235,86666,118709
236,90208,115458
237,93208,115167
238,89792,115250
239,85125,118375
240,86542,115375
241,86959,115167
242,86292,115334
243,86500,115541
244,86250,115375
245,86750,115542
246,85334,115459
247,86625,115542
248,89792,115375
249,89208,115417
250,86625,115292
251,86666,115458
252,86458,115583
253,85042,115625
254,87291,115583
255,87500,115542
256,91125,115250
257,87750,116292
258,86792,115292
259,87042,115041
260,85167,115167
261,86959,116000
262,88042,116500
263,87583,115250
264,86625,114834
265,87041,115000
266,86875,115667
267,85042,114875
268,88583,114542
269,87041,114750
270,86834,115334
271,87292,114875
272,86958,114541
273,86666,114750
274,85250,114584
